"group_code","groep_titel","soort_id","euring_code","soort_naam","classification","binary_membership","membership_weight","analysis_mode","msi_variant"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",240,16630,"Barmsijs","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",29,1730,"Bergeend","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",148,9740,"Boomleeuwerik","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",155,10090,"Boompieper","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",223,15490,"Ekster","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",200,13120,"Fitis","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",170,11220,"Gekraagde Roodstaart","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",158,10171,"Gele Kwikstaart","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",156,10110,"Graspieper","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",219,15150,"Grauwe Klauwier","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",142,8560,"Groene Specht","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",144,8760,"Grote Bonte Specht","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",179,12020,"Grote Lijster","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",165,10840,"Heggenmus","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",122,6680,"Holenduif","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",94,5290,"Houtsnip","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",231,15910,"Huismus","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",224,15600,"Kauw","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",88,4930,"Kievit","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",84,4690,"Kleine Plevier","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",239,16600,"Kneu","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",44,2030,"Kuifeend","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",175,11870,"Merel","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",167,11040,"Nachtegaal","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",171,11370,"Paapje","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",251,18770,"Rietgors","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",166,10990,"Roodborst","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",172,11390,"Roodborsttapuit","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",80,4500,"Scholekster","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",190,12590,"Spotvogel","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",182,12360,"Sprinkhaanrietzanger","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",207,14370,"Staartmees","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",173,11460,"Tapuit","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",198,13110,"Tjiftjaf","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",64,3040,"Torenvalk","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",125,6870,"Tortelduif","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",194,12760,"Tuinfluiter","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",150,9760,"Veldleeuwerik","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",233,16360,"Vink","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",162,10201,"Witte Kwikstaart","primary",1,1,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",97,5410,"Wulp","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",177,12000,"Zanglijster","secondary",1,0.5,"binair","volledig"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters",195,12770,"Zwartkop","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",29,1730,"Bergeend","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",148,9740,"Boomleeuwerik","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",155,10090,"Boompieper","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",1,70,"Dodaars","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",200,13120,"Fitis","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",2,90,"Fuut","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",170,11220,"Gekraagde Roodstaart","secondary",1,0.5,"binair","volledig"
