"chart_id","chart_title","soort_naam"
"100","Watervogels","Bergeend"
"100","Watervogels","Dodaars"
"100","Watervogels","Fuut"
"100","Watervogels","Geoorde Fuut"
"100","Watervogels","Grauwe Gans"
"100","Watervogels","IJsvogel"
"100","Watervogels","Knobbelzwaan"
"100","Watervogels","Kokmeeuw"
"100","Watervogels","Krakeend"
"100","Watervogels","Krooneend"
"100","Watervogels","Kuifeend"
"100","Watervogels","Meerkoet"
"100","Watervogels","Nijlgans"
"100","Watervogels","Oeverzwaluw"
"100","Watervogels","Slobeend"
"100","Watervogels","Tafeleend"
"100","Watervogels","Visdief"
"100","Watervogels","Waterhoen"
"100","Watervogels","Wilde Eend"
"100","Watervogels","Wintertaling"
"100","Watervogels","Zomertaling"
"200","Rietvogels","Blauwborst"
"200","Rietvogels","Grote Karekiet"
"200","Rietvogels","Kleine Karekiet"
"200","Rietvogels","Rietgors"
"200","Rietvogels","Rietzanger"
"200","Rietvogels","Roerdomp"
"200","Rietvogels","Snor"
"200","Rietvogels","Sprinkhaanrietzanger"
"200","Rietvogels","Waterhoen"
"200","Rietvogels","Waterral"
"200","Rietvogels","Watersnip"
"200","Rietvogels","Woudaap"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Bontbekplevier"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Dwergstern"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Graspieper"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Noordse Stern"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Strandplevier"
"2110-embryonale-wandelende-duinen","H2110 - Embryonale wandelende duinen","Tapuit"
"2120-witte-duinen","H2120 - Witte duinen","Dwergstern"
"2120-witte-duinen","H2120 - Witte duinen","Graspieper"
"2120-witte-duinen","H2120 - Witte duinen","Roodborsttapuit"
"2120-witte-duinen","H2120 - Witte duinen","Strandplevier"
"2120-witte-duinen","H2120 - Witte duinen","Tapuit"
"2120-witte-duinen","H2120 - Witte duinen","Veldleeuwerik"
"2130-grijze-duinen","H2130 - Grijze duinen","Boomleeuwerik"
"2130-grijze-duinen","H2130 - Grijze duinen","Boompieper"
"2130-grijze-duinen","H2130 - Grijze duinen","Geelgors"
"2130-grijze-duinen","H2130 - Grijze duinen","Grasmus"
"2130-grijze-duinen","H2130 - Grijze duinen","Graspieper"
"2130-grijze-duinen","H2130 - Grijze duinen","Kwartel"
"2130-grijze-duinen","H2130 - Grijze duinen","Nachtzwaluw"
"2130-grijze-duinen","H2130 - Grijze duinen","Paapje"
"2130-grijze-duinen","H2130 - Grijze duinen","Patrijs"
"2130-grijze-duinen","H2130 - Grijze duinen","Roodborsttapuit"
"2130-grijze-duinen","H2130 - Grijze duinen","Tapuit"
"2130-grijze-duinen","H2130 - Grijze duinen","Veldleeuwerik"
"2130-grijze-duinen","H2130 - Grijze duinen","Wulp"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Braamsluiper"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Fitis"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Geelgors"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Grasmus"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Grauwe Klauwier"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Groenling"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Heggenmus"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Kneu"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Merel"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Nachtegaal"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Spotvogel"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Tjiftjaf"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Tuinfluiter"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Winterkoning"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Zanglijster"
"2160-duindoornstruwelen","H2160 - Duindoornstruwelen","Zwartkop"
"2180-duinbossen","H2180 - Duinbossen","Bonte Vliegenvanger"
"2180-duinbossen","H2180 - Duinbossen","Boomklever"
"2180-duinbossen","H2180 - Duinbossen","Boomkruiper"
"2180-duinbossen","H2180 - Duinbossen","Bosuil"
"2180-duinbossen","H2180 - Duinbossen","Gekraagde Roodstaart"
"2180-duinbossen","H2180 - Duinbossen","Glanskop"
"2180-duinbossen","H2180 - Duinbossen","Groene Specht"
"2180-duinbossen","H2180 - Duinbossen","Grote Bonte Specht"
"2180-duinbossen","H2180 - Duinbossen","Havik"
"2180-duinbossen","H2180 - Duinbossen","Holenduif"
"2180-duinbossen","H2180 - Duinbossen","Houtsnip"
"2180-duinbossen","H2180 - Duinbossen","Kleine Bonte Specht"
"2180-duinbossen","H2180 - Duinbossen","Matkop"
"2180-duinbossen","H2180 - Duinbossen","Middelste Bonte Specht"
"2180-duinbossen","H2180 - Duinbossen","Roodborst"
"2180-duinbossen","H2180 - Duinbossen","Sperwer"
"2180-duinbossen","H2180 - Duinbossen","Wielewaal"
"2180-duinbossen","H2180 - Duinbossen","Winterkoning"
"2180-duinbossen","H2180 - Duinbossen","Zanglijster"
"2180-duinbossen","H2180 - Duinbossen","Zwarte Specht"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Baardmannetje"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Blauwborst"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Cetti's Zanger"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Dodaars"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Fuut"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Geoorde Fuut"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Grote Karekiet"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Kleine Karekiet"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Krooneend"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Kuifeend"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Paapje"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Porseleinhoen"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Rietgors"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Rietzanger"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Roerdomp"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Roodhalsfuut"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Snor"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Sprinkhaanrietzanger"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Tafeleend"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Waterral"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Watersnip"
"2190-vochtige-duinvalleien","H2190 - Vochtige duinvalleien","Woudaap"
"300","Vogels van pionierbegroeiingen","Bergeend"
"300","Vogels van pionierbegroeiingen","Boomleeuwerik"
"300","Vogels van pionierbegroeiingen","Gele Kwikstaart"
"300","Vogels van pionierbegroeiingen","Gewone Fazant"
"300","Vogels van pionierbegroeiingen","Graspieper"
"300","Vogels van pionierbegroeiingen","Holenduif"
"300","Vogels van pionierbegroeiingen","Kauw"
"300","Vogels van pionierbegroeiingen","Kievit"
"300","Vogels van pionierbegroeiingen","Kleine Mantelmeeuw"
"300","Vogels van pionierbegroeiingen","Kleine Plevier"
"300","Vogels van pionierbegroeiingen","Kuifleeuwerik"
"300","Vogels van pionierbegroeiingen","Kwartel"
"300","Vogels van pionierbegroeiingen","Oeverzwaluw"
"300","Vogels van pionierbegroeiingen","Paapje"
"300","Vogels van pionierbegroeiingen","Patrijs"
"300","Vogels van pionierbegroeiingen","Scholekster"
"300","Vogels van pionierbegroeiingen","Stormmeeuw"
"300","Vogels van pionierbegroeiingen","Tapuit"
"300","Vogels van pionierbegroeiingen","Veldleeuwerik"
"300","Vogels van pionierbegroeiingen","Visdief"
"300","Vogels van pionierbegroeiingen","Watersnip"
"300","Vogels van pionierbegroeiingen","Witte Kwikstaart"
"300","Vogels van pionierbegroeiingen","Wulp"
